year,Gender,count,total,share
1978.0,Unknown,67,1140,0.058771929824561406
1979.0,Female,195,1035,0.18840579710144928
1979.0,Male,780,1035,0.7536231884057971
1979.0,Unknown,60,1035,0.057971014492753624
1980.0,Female,133,1253,0.10614525139664804
1980.0,Male,1065,1253,0.8499600957701516
1980.0,Unknown,55,1253,0.04389465283320032
1981.0,Female,135,960,0.140625
1981.0,Male,776,960,0.8083333333333333
1981.0,Unknown,49,960,0.051041666666666666
1982.0,Female,144,1013,0.14215202369200394
1982.0,Male,833,1013,0.8223099703849951
1982.0,Unknown,36,1013,0.035538005923000986
1983.0,Female,150,1087,0.13799448022079117
1983.0,Male,882,1087,0.8114075436982521
1983.0,Unknown,55,1087,0.050597976080956765
1984.0,Female,250,1168,0.21404109589041095
1984.0,Male,859,1168,0.735445205479452
1984.0,Unknown,59,1168,0.05051369863013699
1985.0,Female,148,787,0.1880559085133418
1985.0,Male,602,787,0.7649301143583227
1985.0,Unknown,37,787,0.04701397712833545
1986.0,Female,97,868,0.11175115207373272
1986.0,Male,707,868,0.8145161290322581
1986.0,Unknown,64,868,0.07373271889400922
1987.0,Female,167,833,0.20048019207683074
1987.0,Male,644,833,0.773109243697479
1987.0,Unknown,22,833,0.026410564225690276
1988.0,Female,143,991,0.1442986881937437
1988.0,Male,812,991,0.8193743693239153
1988.0,Unknown,36,991,0.03632694248234107
1989.0,Female,187,951,0.19663512092534174
1989.0,Male,710,951,0.7465825446898002
1989.0,Unknown,54,951,0.056782334384858045
1990.0,Female,334,1142,0.29246935201401053
1990.0,Male,763,1142,0.6681260945709282
1990.0,Unknown,45,1142,0.03940455341506129
1991.0,Female,120,1143,0.10498687664041995
1991.0,Male,973,1143,0.8512685914260717
1991.0,Unknown,50,1143,0.04374453193350831
1992.0,Female,223,806,0.27667493796526055
1992.0,Male,546,806,0.6774193548387096
1992.0,Unknown,37,806,0.04590570719602978
1993.0,Female,250,638,0.39184952978056425
1993.0,Male,354,638,0.554858934169279
1993.0,Unknown,34,638,0.05329153605015674
1994.0,Female,418,1087,0.3845446182152714
1994.0,Male,626,1087,0.5758969641214351
1994.0,Unknown,43,1087,0.03955841766329347
1995.0,Female,450,889,0.5061867266591676
1995.0,Male,405,889,0.45556805399325084
1995.0,Unknown,34,889,0.03824521934758155
1996.0,Female,276,911,0.3029637760702525
1996.0,Male,596,911,0.6542261251372119
1996.0,Unknown,39,911,0.042810098792535674
1997.0,Female,237,758,0.31266490765171506
1997.0,Male,472,758,0.6226912928759895
1997.0,Unknown,49,758,0.06464379947229551
