year,Department,Gender,count,total,share
1942.0,Drawings,Female,2,41,0.04878048780487805
1942.0,Drawings,Male,39,41,0.9512195121951219
1942.0,Film,Male,1,1,1.0
1942.0,Painting & Sculpture,Female,4,33,0.12121212121212122
1942.0,Painting & Sculpture,Male,29,33,0.8787878787878788
1942.0,Photography,Female,3,30,0.1
1942.0,Photography,Male,26,30,0.8666666666666667
1942.0,Photography,Unknown,1,30,0.03333333333333333
1942.0,Prints & Illustrated Books,Female,6,70,0.08571428571428572
1942.0,Prints & Illustrated Books,Male,58,70,0.8285714285714286
1942.0,Prints & Illustrated Books,Unknown,6,70,0.08571428571428572
1943.0,Architecture & Design,Female,4,107,0.037383177570093455
1943.0,Architecture & Design,Male,60,107,0.5607476635514018
1943.0,Architecture & Design,Unknown,43,107,0.40186915887850466
1943.0,Drawings,Male,13,14,0.9285714285714286
1943.0,Drawings,Unknown,1,14,0.07142857142857142
1943.0,Painting & Sculpture,Female,2,34,0.058823529411764705
1943.0,Painting & Sculpture,Male,31,34,0.9117647058823529
1943.0,Painting & Sculpture,Unknown,1,34,0.029411764705882353
1943.0,Photography,Female,4,24,0.16666666666666666
1943.0,Photography,Male,20,24,0.8333333333333334
1943.0,Prints & Illustrated Books,Male,29,30,0.9666666666666667
1943.0,Prints & Illustrated Books,Unknown,1,30,0.03333333333333333
1944.0,Architecture & Design,Female,2,33,0.06060606060606061
1944.0,Architecture & Design,Male,20,33,0.6060606060606061
1944.0,Architecture & Design,Unknown,11,33,0.3333333333333333
1944.0,Drawings,Female,2,16,0.125
1944.0,Drawings,Male,14,16,0.875
1944.0,Film,Male,1,1,1.0
1944.0,Painting & Sculpture,Female,3,16,0.1875
1944.0,Painting & Sculpture,Male,13,16,0.8125
1944.0,Photography,Female,9,39,0.23076923076923078
1944.0,Photography,Male,28,39,0.717948717948718
1944.0,Photography,Unknown,2,39,0.05128205128205128
1944.0,Prints & Illustrated Books,Female,2,30,0.06666666666666667
1944.0,Prints & Illustrated Books,Male,24,30,0.8
1944.0,Prints & Illustrated Books,Unknown,4,30,0.13333333333333333
1945.0,Architecture & Design,Female,1,32,0.03125
1945.0,Architecture & Design,Male,25,32,0.78125
1945.0,Architecture & Design,Unknown,6,32,0.1875
1945.0,Drawings,Male,12,12,1.0
1945.0,Painting & Sculpture,Female,2,10,0.2
1945.0,Painting & Sculpture,Male,8,10,0.8
1945.0,Prints & Illustrated Books,Female,1,35,0.02857142857142857
1945.0,Prints & Illustrated Books,Male,33,35,0.9428571428571428
1945.0,Prints & Illustrated Books,Unknown,1,35,0.02857142857142857
1946.0,Architecture & Design,Male,7,13,0.5384615384615384
1946.0,Architecture & Design,Unknown,6,13,0.46153846153846156
1946.0,Drawings,Male,5,5,1.0
1946.0,Painting & Sculpture,Female,2,9,0.2222222222222222
1946.0,Painting & Sculpture,Male,7,9,0.7777777777777778
1946.0,Photography,Female,2,9,0.2222222222222222
1946.0,Photography,Male,7,9,0.7777777777777778
1946.0,Prints & Illustrated Books,Male,8,8,1.0
1947.0,Architecture & Design,Female,2,39,0.05128205128205128
1947.0,Architecture & Design,Male,18,39,0.46153846153846156
1947.0,Architecture & Design,Unknown,19,39,0.48717948717948717
1947.0,Drawings,Female,2,26,0.07692307692307693
1947.0,Drawings,Male,24,26,0.9230769230769231
1947.0,Film,Male,2,2,1.0
1947.0,Painting & Sculpture,Female,1,13,0.07692307692307693
1947.0,Painting & Sculpture,Male,12,13,0.9230769230769231
1947.0,Photography,Male,3,4,0.75
1947.0,Photography,Unknown,1,4,0.25
1947.0,Prints & Illustrated Books,Female,8,67,0.11940298507462686
1947.0,Prints & Illustrated Books,Male,57,67,0.8507462686567164
1947.0,Prints & Illustrated Books,Unknown,2,67,0.029850746268656716
1948.0,Architecture & Design,Female,7,68,0.10294117647058823
1948.0,Architecture & Design,Male,34,68,0.5
1948.0,Architecture & Design,Unknown,27,68,0.39705882352941174
1948.0,Drawings,Female,1,22,0.045454545454545456
1948.0,Drawings,Male,20,22,0.9090909090909091
1948.0,Drawings,Unknown,1,22,0.045454545454545456
1948.0,Painting & Sculpture,Male,11,11,1.0
1948.0,Photography,Male,1,1,1.0
1948.0,Prints & Illustrated Books,Female,5,51,0.09803921568627451
1948.0,Prints & Illustrated Books,Male,46,51,0.9019607843137255
1949.0,Architecture & Design,Male,8,9,0.8888888888888888
1949.0,Architecture & Design,Unknown,1,9,0.1111111111111111
1949.0,Drawings,Female,1,18,0.05555555555555555
1949.0,Drawings,Male,17,18,0.9444444444444444
1949.0,Painting & Sculpture,Female,1,19,0.05263157894736842
1949.0,Painting & Sculpture,Male,18,19,0.9473684210526315
1949.0,Prints & Illustrated Books,Female,23,219,0.1050228310502283
1949.0,Prints & Illustrated Books,Male,190,219,0.867579908675799
1949.0,Prints & Illustrated Books,Unknown,6,219,0.0273972602739726
1950.0,Architecture & Design,Female,7,66,0.10606060606060606
1950.0,Architecture & Design,Male,39,66,0.5909090909090909
1950.0,Architecture & Design,Unknown,20,66,0.30303030303030304
1950.0,Drawings,Female,1,19,0.05263157894736842
1950.0,Drawings,Male,18,19,0.9473684210526315
1950.0,Painting & Sculpture,Male,20,20,1.0
1950.0,Photography,Male,2,2,1.0
1950.0,Prints & Illustrated Books,Female,7,55,0.12727272727272726
1950.0,Prints & Illustrated Books,Male,47,55,0.8545454545454545
1950.0,Prints & Illustrated Books,Unknown,1,55,0.01818181818181818
1951.0,Architecture & Design,Female,2,48,0.041666666666666664
1951.0,Architecture & Design,Male,39,48,0.8125
1951.0,Architecture & Design,Unknown,7,48,0.14583333333333334
1951.0,Drawings,Female,2,13,0.15384615384615385
1951.0,Drawings,Male,11,13,0.8461538461538461
1951.0,Painting & Sculpture,Female,2,25,0.08
1951.0,Painting & Sculpture,Male,23,25,0.92
1951.0,Prints & Illustrated Books,Female,5,84,0.05952380952380952
